Name,Age,Team,League,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
Hayden Wesneski,25,CHC,NL,2,3,0.4,4.75,15,10,1,0,0,0,60.2,58,36,32,14,15,0,49,3,0,1,254,94,5.56,1.203,8.6,2.1,2.2,7.3,3.27
Zack Wheeler,33,PHI,NL,7,5,0.583,3.88,20,20,0,0,0,0,118.1,112,54,51,10,23,0,134,7,0,1,495,111,2.88,1.141,8.5,0.8,1.7,10.2,5.83
Brendan White,24,DET,AL,2,2,0.5,4.95,16,1,4,0,0,0,20.0,19,12,11,3,7,0,20,2,0,1,85,89,4.59,1.3,8.6,1.4,3.2,9.0,2.86
Mitch White,28,TOR,AL,0,0,0.0,7.3,9,0,5,0,0,0,12.1,14,10,10,2,7,0,13,0,0,1,58,59,4.99,1.703,10.2,1.5,5.1,9.5,1.86
Owen White,23,TEX,AL,0,1,0.0,13.5,1,0,0,0,0,0,2.0,4,3,3,1,1,0,2,0,0,0,11,38,9.29,2.5,18.0,4.5,4.5,9.0,2.0
Garrett Whitlock,27,BOS,AL,4,3,0.571,5.23,10,10,0,0,0,0,51.2,61,31,30,10,7,0,47,2,0,2,216,90,4.51,1.316,10.6,1.7,1.2,8.2,6.71
Devin Williams,28,MIL,NL,4,2,0.667,1.64,39,0,33,0,0,25,38.1,20,8,7,3,20,1,55,0,0,0,153,266,3.0,1.043,4.7,0.7,4.7,12.9,2.75
Gavin Williams,23,CLE,AL,1,2,0.333,3.74,6,6,0,0,0,0,33.2,29,14,14,4,15,0,26,1,0,0,140,112,4.71,1.307,7.8,1.1,4.0,7.0,1.73
Luke Williams,26,LAD,NL,0,0,0.0,0.0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,0,3.29,0.0,0.0,0.0,0.0,0.0,0.0
Trevor Williams,31,WSN,NL,5,5,0.5,4.38,20,20,0,0,0,0,98.2,109,55,48,20,33,0,74,3,2,0,435,95,5.52,1.439,9.9,1.8,3.0,6.8,2.24
Brandon Williamson ,25,CIN,NL,2,2,0.5,4.6,12,12,0,0,0,0,58.2,51,33,30,10,23,0,46,1,0,0,245,103,5.16,1.261,7.8,1.5,3.5,7.1,2.0
Amos Willingham,24,WSN,NL,0,2,0.0,11.74,7,0,2,0,0,0,7.2,14,10,10,4,1,0,4,1,0,0,39,37,9.81,1.957,16.4,4.7,1.2,4.7,4.0
Bryse Wilson,25,MIL,NL,3,0,1.0,2.51,32,0,10,0,0,3,46.2,34,15,13,3,12,0,40,1,0,4,186,174,3.25,0.986,6.6,0.6,2.3,7.7,3.33
Steven Wilson,28,SDP,NL,1,0,1.0,2.7,38,0,3,0,0,0,40.0,23,12,12,4,18,0,42,2,0,0,159,152,3.99,1.025,5.2,0.9,4.1,9.5,2.33
Allan Winans,27,ATL,NL,0,0,0.0,4.15,1,1,0,0,0,0,4.1,5,2,2,0,1,0,5,0,0,0,18,117,1.67,1.385,10.4,0.0,2.1,10.4,5.0
Josh Winckowski,25,BOS,AL,3,1,0.75,2.96,34,0,5,0,0,2,54.2,58,23,18,8,16,1,45,2,0,2,233,158,4.53,1.354,9.5,1.3,2.6,7.4,2.81
Josh Winder,26,MIN,AL,1,0,1.0,4.76,4,0,3,0,0,0,5.2,8,3,3,1,3,0,7,0,0,0,27,96,4.7,1.941,12.7,1.6,4.8,11.1,2.33
Trey Wingenter,29,DET,AL,1,0,1.0,8.31,6,0,1,0,0,0,4.1,5,4,4,0,2,0,5,2,0,2,22,56,3.75,1.615,10.4,0.0,4.2,10.4,2.5
Keaton Winn,25,SFG,NL,0,2,0.0,4.09,5,2,1,0,0,1,22.0,18,10,10,3,5,0,14,4,0,1,91,106,5.02,1.045,7.4,1.2,2.0,5.7,2.8
Brett Wisely,24,SFG,NL,0,0,0.0,9.0,1,0,1,0,0,0,1.0,1,1,1,1,0,0,0,0,0,0,4,65,16.29,1.0,9.0,9.0,0.0,0.0,0.0
Nick Wittgren,32,KCR,AL,0,0,0.0,6.75,19,0,11,0,0,0,21.1,26,17,16,2,10,0,15,2,0,1,99,66,4.79,1.688,11.0,0.8,4.2,6.3,1.5
Jackson Wolf ,24,SDP,NL,1,0,1.0,5.4,1,1,0,0,0,0,5.0,6,3,3,0,1,0,1,0,0,0,22,81,3.49,1.4,10.8,0.0,1.8,1.8,1.0
Jake Wong,26,CIN,NL,0,0,0.0,9.0,1,0,1,0,0,0,3.0,6,3,3,0,3,0,0,0,0,0,15,58,6.29,3.0,18.0,0.0,9.0,0.0,0.0
Bryan Woo,23,SEA,AL,1,2,0.333,4.74,8,8,0,0,0,0,38.0,36,23,20,6,12,0,47,1,0,1,163,87,3.89,1.263,8.5,1.4,2.8,11.1,3.92
Alex Wood ,32,SFG,NL,4,4,0.5,4.99,15,11,0,0,0,0,57.2,59,35,32,8,30,0,51,7,2,0,262,86,5.25,1.543,9.2,1.2,4.7,8.0,1.7
Jake Woodford,26,STL,NL,2,2,0.5,5.67,12,6,1,0,0,0,39.2,50,26,25,8,17,0,25,3,0,1,182,77,6.16,1.689,11.3,1.8,3.9,5.7,1.47
Brandon Woodruff,30,MIL,NL,1,0,1.0,0.79,2,2,0,0,0,0,11.1,7,1,1,1,3,0,12,0,0,0,42,562,3.11,0.882,5.6,0.8,2.4,9.5,4.0
Simeon Woods Richardson,22,MIN,AL,0,0,0.0,9.64,1,0,0,0,0,0,4.2,7,5,5,1,3,0,5,0,0,0,24,48,5.86,2.143,13.5,1.9,5.8,9.6,1.67
Kyle Wright,27,ATL,NL,0,1,0.0,5.79,5,5,0,0,0,0,18.2,23,14,12,2,10,0,20,2,0,2,93,79,4.47,1.768,11.1,1.0,4.8,9.6,2.0
Randy Wynne,30,CIN,NL,0,1,0.0,3.86,1,0,0,0,0,0,2.1,3,1,1,0,1,0,0,0,0,1,11,139,4.57,1.714,11.6,0.0,3.9,0.0,0.0
Jimmy Yacabonis,31,NYM,NL,2,1,0.667,9.0,5,0,0,0,0,0,9.0,12,9,9,1,4,0,8,1,0,0,44,48,4.62,1.778,12.0,1.0,4.0,8.0,2.0
Ryan Yarbrough ,31,KCR,AL,2,5,0.286,5.21,12,5,2,0,0,0,38.0,39,22,22,4,9,0,23,6,0,1,161,85,4.63,1.263,9.2,0.9,2.1,5.4,2.56
Kirby Yates,36,ATL,NL,4,0,1.0,3.38,37,0,7,0,0,2,37.1,25,14,14,6,21,1,52,2,0,4,159,135,4.44,1.232,6.0,1.4,5.1,12.5,2.48
Alex Young ,29,CIN,NL,4,0,1.0,2.31,45,0,1,0,0,1,39.0,36,12,10,5,14,0,38,1,0,0,166,206,4.16,1.282,8.3,1.2,3.2,8.8,2.71
Danny Young ,29,ATL,NL,0,0,0.0,1.08,8,0,5,0,0,0,8.1,7,1,1,0,2,0,11,3,0,0,35,434,2.45,1.08,7.6,0.0,2.2,11.9,5.5
Rob Zastryzny ,31,PIT,NL,1,0,1.0,5.29,18,0,2,0,0,0,17.0,20,13,10,1,13,1,13,0,0,2,83,86,4.82,1.941,10.6,0.5,6.9,6.9,1.0
Bruce Zimmermann ,28,BAL,AL,1,0,1.0,5.56,6,0,4,0,0,0,11.1,15,8,7,3,0,0,12,2,0,0,53,78,5.14,1.324,11.9,2.4,0.0,9.5,0.0
Guillermo Zuñiga,24,STL,NL,0,0,0.0,0.0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,2,0,0,0,3,0,-0.71,0.0,0.0,0.0,0.0,18.0,0.0
