Name,Age,Team,League,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
Luis Patiño,23,TBR,AL,0,0,0.0,9.0,2,0,1,0,0,0,4.0,5,4,4,2,2,0,5,0,0,0,19,50,8.79,1.75,11.3,4.5,4.5,11.3,2.5
Spencer Patton,35,OAK,AL,0,0,0.0,6.75,4,0,1,0,0,0,5.1,5,4,4,2,1,0,1,0,0,0,22,64,8.35,1.125,8.4,3.4,1.7,1.7,1.0
James Paxton ,34,BOS,AL,6,2,0.75,3.46,12,12,0,0,0,0,65.0,47,27,25,9,18,0,75,2,0,1,258,135,3.7,1.0,6.5,1.2,2.5,10.4,4.17
Joel Payamps,29,MIL,NL,4,1,0.8,1.75,44,0,7,0,0,3,46.1,33,11,9,5,8,0,54,3,2,1,180,249,3.07,0.885,6.4,1.0,1.6,10.5,6.75
Nate Pearson,26,TOR,AL,5,2,0.714,4.75,29,0,5,0,0,1,36.0,31,21,19,6,11,2,36,3,0,3,151,89,4.62,1.167,7.8,1.5,2.8,9.0,3.27
Elvis Peguero,26,MIL,NL,1,2,0.333,2.77,37,0,5,0,0,1,39.0,28,13,12,1,15,0,34,4,0,0,157,158,3.34,1.103,6.5,0.2,3.5,7.8,2.27
Freddy Peralta,27,MIL,NL,6,8,0.429,4.72,19,19,0,0,0,0,103.0,89,60,54,18,43,0,118,6,0,3,442,92,4.7,1.282,7.8,1.6,3.8,10.3,2.74
Sammy Peralta ,25,CHW,AL,0,0,0.0,27.0,1,0,1,0,0,0,0.2,2,2,2,0,2,0,2,0,0,0,6,25,6.29,6.0,27.0,0.0,27.0,27.0,1.0
Wandy Peralta ,31,NYY,AL,3,1,0.75,2.37,45,0,10,0,0,4,38.0,26,12,10,3,21,0,30,4,2,1,160,180,4.71,1.237,6.2,0.7,5.0,7.1,1.43
Angel Perdomo ,29,PIT,NL,1,1,0.5,3.32,19,0,5,0,0,0,19.0,11,8,7,1,7,0,28,2,0,0,74,137,2.45,0.947,5.2,0.5,3.3,13.3,4.0
Carlos Pérez,32,OAK,AL,0,0,0.0,10.8,2,0,2,0,0,0,1.2,4,2,2,1,2,0,0,0,0,0,10,46,14.69,3.6,21.6,5.4,10.8,0.0,0.0
Cionel Pérez ,27,BAL,AL,3,1,0.75,4.68,36,0,7,0,0,0,32.2,39,20,17,2,19,2,26,2,1,0,157,90,4.42,1.776,10.7,0.6,5.2,7.2,1.37
Eury Pérez,20,MIA,NL,5,3,0.625,2.36,11,11,0,0,0,0,53.1,41,15,14,7,17,0,61,1,0,3,215,184,3.72,1.088,6.9,1.2,2.9,10.3,3.59
Martín Pérez ,32,TEX,AL,7,3,0.7,4.84,18,18,0,0,0,0,96.2,109,56,52,17,36,0,62,1,2,0,425,90,5.44,1.5,10.1,1.6,3.4,5.8,1.72
David Peterson ,27,NYM,NL,2,7,0.222,6.44,14,11,0,1,0,0,57.1,71,41,41,9,25,0,64,2,0,4,261,64,4.51,1.674,11.1,1.4,3.9,10.0,2.56
Jace Peterson,33,OAK,AL,0,0,0.0,9.0,2,0,2,0,0,0,2.0,3,2,2,1,3,0,1,0,0,0,12,54,13.29,3.0,13.5,4.5,13.5,4.5,0.33
Brandon Pfaadt,24,ARI,NL,0,4,0.0,8.81,7,7,0,0,0,0,31.2,42,31,31,12,10,0,27,2,0,0,146,49,7.65,1.642,11.9,3.4,2.8,7.7,2.7
Brett Phillips,29,LAA,AL,0,0,0.0,0.0,1,0,1,0,0,0,0.1,1,0,0,0,1,0,0,0,0,0,3,0,12.29,6.0,27.0,0.0,27.0,0.0,0.0
Evan Phillips,28,LAD,NL,1,3,0.25,2.41,39,0,20,0,0,12,37.1,22,10,10,3,9,0,44,2,0,1,140,185,2.86,0.83,5.3,0.7,2.2,10.6,4.89
Konnor Pilkington ,25,CLE,AL,0,0,0.0,0.0,1,0,1,0,0,0,2.0,1,0,0,0,1,0,2,0,0,0,8,0,2.79,1.0,4.5,0.0,4.5,9.0,2.0
Riley Pint,25,COL,NL,0,0,0.0,27.0,1,0,0,0,0,0,0.1,1,1,1,0,3,0,0,0,0,0,5,36,30.29,12.0,27.0,0.0,81.0,0.0,0.0
Nick Pivetta,30,BOS,AL,6,5,0.545,4.38,24,8,2,0,0,0,76.0,58,42,37,12,33,1,95,4,1,4,322,107,4.3,1.197,6.9,1.4,3.9,11.3,2.88
Zach Plesac,28,CLE,AL,1,1,0.5,7.59,5,5,0,0,0,0,21.1,37,20,18,3,5,0,14,0,0,0,105,55,4.51,1.969,15.6,1.3,2.1,5.9,2.8
Colin Poche ,29,TBR,AL,7,2,0.778,2.0,40,0,4,0,0,1,36.0,24,10,8,3,17,0,31,1,0,2,150,207,4.15,1.139,6.0,0.8,4.3,7.8,1.82
